,symbol,type,entry_time,exit_time,entry_price,exit_price,sl,tp,risk,reward,profit,close_reason
45,XAUUSD,BUY,1772676000.0,1772695800.0,5173.48,5148.8,5148.8,5272.199999999997,24.67999999999938,98.71999999999753,-24.67999999999938,SL
46,XAUUSD,SELL,1772704800.0,1772708400.0,5144.65,5167.15,5167.15,5054.65,22.5,90.0,-22.5,SL
47,XAUUSD,BUY,1772771400.0,1772782200.0,5126.43,5122.16,5122.16,5143.510000000002,4.270000000000437,17.080000000001746,-4.270000000000437,SL
48,XAUUSD,SELL,1772794800.0,1772811000.0,5099.08,5113.62,5113.62,5040.92,14.539999999999964,58.159999999999854,-14.539999999999964,SL
49,XAUUSD,BUY,1772821800.0,1773018000.0,5139.88,5126.04,5126.04,5195.240000000001,13.840000000000146,55.36000000000058,-13.840000000000146,SL
50,XAUUSD,SELL,1773050400.0,1773054000.0,5091.66,5110.88,5110.88,5014.779999999999,19.220000000000255,76.88000000000102,-19.220000000000255,SL
51,XAUUSD,SELL,1773059400.0,1773066600.0,5087.23,5111.13,5111.13,4991.629999999997,23.900000000000546,95.60000000000218,-23.900000000000546,SL
52,XAUUSD,BUY,1773091800.0,1773163800.0,5141.02,5231.060000000001,5118.51,5231.060000000001,22.51000000000022,90.04000000000087,90.04000000000087,TP
53,XAUUSD,SELL,1773181800.0,1773194400.0,5191.41,5199.09,5199.09,5160.689999999999,7.680000000000291,30.720000000001164,-7.680000000000291,SL
54,XAUUSD,SELL,1773212400.0,1773216000.0,5200.46,5208.42,5208.42,5168.62,7.960000000000036,31.840000000000146,-7.960000000000036,SL
55,XAUUSD,SELL,1773223200.0,1773280800.0,5184.89,5129.810000000002,5198.66,5129.810000000002,13.769999999999527,55.07999999999811,55.07999999999811,TP
56,XAUUSD,BUY,1773306000.0,1773329400.0,5169.07,5156.05,5156.05,5221.149999999998,13.019999999999527,52.07999999999811,-13.019999999999527,SL
57,XAUUSD,SELL,1773331200.0,1773352800.0,5152.07,5074.789999999997,5171.39,5074.789999999997,19.32000000000062,77.28000000000247,77.28000000000247,TP
58,XAUUSD,BUY,1773374400.0,1773378000.0,5121.51,5108.86,5108.86,5172.110000000002,12.650000000000546,50.60000000000218,-12.650000000000546,SL
59,XAUUSD,SELL,1773381600.0,1773410400.0,5105.51,5117.92,5117.92,5055.870000000001,12.409999999999854,49.63999999999942,-12.409999999999854,SL
60,XAUUSD,BUY,1773410400.0,1773417600.0,5114.0,5092.02,5092.02,5201.919999999998,21.979999999999563,87.91999999999825,-21.979999999999563,SL
61,XAUUSD,SELL,1773680400.0,1773693000.0,4991.88,5015.16,5015.16,4898.760000000001,23.279999999999745,93.11999999999898,-23.279999999999745,SL
62,XAUUSD,BUY,1773694800.0,1773700200.0,5010.44,5005.35,5005.35,5030.7999999999965,5.089999999999236,20.359999999996944,-5.089999999999236,SL
63,XAUUSD,SELL,1773736200.0,1773739800.0,5010.09,5022.83,5022.83,4959.130000000001,12.739999999999782,50.95999999999913,-12.739999999999782,SL
64,XAUUSD,SELL,1773747000.0,1773761400.0,5010.52,5025.98,5025.98,4948.680000000004,15.459999999999127,61.83999999999651,-15.459999999999127,SL
65,XAUUSD,BUY,1773822600.0,1773826200.0,5009.39,4996.35,4996.35,5061.55,13.039999999999964,52.159999999999854,-13.039999999999964,SL
