time,open,high,low,close,tick_volume,spread,real_volume,ema_8,ema_33
1779852600,1.16393,1.16404,1.16375,1.16379,835,1,0,1.163525263208645,1.163239005667482
1779854400,1.16379,1.16393,1.16367,1.1637,653,1,0,1.163564093606724,1.1632661229811594
1779856200,1.1637,1.1637,1.16326,1.16339,892,2,0,1.1635254061385631,1.1632734098646205
1779858000,1.16338,1.16382,1.16338,1.16347,774,1,0,1.163513093663327,1.163284973990231
1779859800,1.16347,1.16384,1.16339,1.16383,582,0,0,1.1635835172936986,1.1633170343437467
1779861600,1.16383,1.16424,1.16377,1.1639,495,2,0,1.1636538467839876,1.1633513264411732
1779863400,1.1639,1.16396,1.16367,1.16387,369,2,0,1.1637018808319903,1.163381836650516
1779865200,1.16387,1.16408,1.16382,1.16395,322,1,0,1.1637570184248813,1.163415258024015
1779867000,1.16395,1.16423,1.16392,1.16412,429,1,0,1.1638376809971298,1.163456713434367
1779868800,1.16412,1.16444,1.16407,1.16438,640,1,0,1.163958196331101,1.1635110244088158
1779870600,1.16438,1.16442,1.16386,1.16395,880,0,0,1.1639563749241897,1.1635368465024147
1779872400,1.16395,1.16413,1.16372,1.16401,1237,0,0,1.1639682916077032,1.1635646790610963
1779874200,1.16401,1.16492,1.16386,1.16454,1466,1,0,1.1640953379171024,1.163622050881032
1779876000,1.16456,1.16488,1.16421,1.16453,1574,0,0,1.1641919294910796,1.1636754596527359
1779877800,1.16452,1.16478,1.164,1.16405,1186,0,0,1.1641603896041732,1.163697491437869
1779879600,1.16407,1.16471,1.16381,1.16471,1477,2,0,1.1642825252476903,1.1637570507650532
1779881400,1.1647,1.16471,1.16429,1.16449,967,2,0,1.1643286307482037,1.1638001654259325
1779883200,1.16449,1.16469,1.16424,1.16452,1206,0,0,1.1643711572486029,1.1638425086361717
1779885000,1.16452,1.16485,1.16434,1.16446,715,1,0,1.1643909000822468,1.1638788316575732
1779886800,1.16446,1.16446,1.16364,1.16375,890,0,0,1.1642484778417477,1.1638712533247746
1779888600,1.16375,1.16405,1.16359,1.16391,1161,0,0,1.1641732605435815,1.1638735325409644
1779890400,1.16391,1.16418,1.16362,1.16378,1253,0,0,1.1640858693116745,1.1638680306267901
1779892200,1.16378,1.16397,1.16328,1.16376,1467,0,0,1.16401345390908,1.1638616758840379
1779894000,1.16376,1.166,1.16344,1.16561,3967,0,0,1.1643682419292845,1.1639645184790945
1779895800,1.16561,1.16614,1.16417,1.16437,3396,0,0,1.1643686326116656,1.1639883703332654
1779897600,1.16437,1.16479,1.16397,1.16411,2655,0,0,1.164311158697962,1.163995525019544
1779899400,1.1641,1.16462,1.16377,1.16413,3057,0,0,1.164270901209526,1.164003435312512
1779901200,1.16413,1.16522,1.16365,1.16488,2662,0,0,1.164406256496298,1.1640549979411876
1779903000,1.16486,1.16517,1.16249,1.16254,3684,0,0,1.163991532830454,1.1639658804152355
1779904800,1.16255,1.16344,1.16224,1.16338,2583,0,0,1.1638556366459087,1.1639314168613981
1779906600,1.16339,1.16363,1.16262,1.16302,1919,0,0,1.1636699396134844,1.1638778041048454
1779908400,1.16302,1.1632,1.16241,1.16284,1515,0,0,1.1634855085882658,1.1638167568045605
1779910200,1.16284,1.16327,1.16275,1.16322,993,0,0,1.1634265066797622,1.1637816534631156
1779912000,1.16322,1.16329,1.16221,1.16235,1382,0,0,1.1631872829731482,1.1636974385535206
1779913800,1.16235,1.16285,1.16222,1.16273,843,2,0,1.1630856645346708,1.1636405304033135
1779915600,1.16271,1.16273,1.16225,1.16245,821,2,0,1.1629444057491884,1.1635704992031186
1779917400,1.16245,1.16302,1.16238,1.16293,773,1,0,1.162941204471591,1.1635328227794057
1779919200,1.16293,1.16319,1.16283,1.16308,632,1,0,1.1629720479223487,1.163506186145323
1779921000,1.16308,1.16316,1.16267,1.16288,697,0,0,1.1629515928284935,1.1634693516661865
1779922800,1.16287,1.16305,1.16276,1.16278,468,3,0,1.1629134610888283,1.1634288015681755
1779924600,1.16278,1.16289,1.16253,1.16255,523,3,0,1.1628326919579777,1.1633771073582828
1779926400,1.16285,1.16299,1.1626,1.16287,197,11,0,1.1628409826339827,1.163347277513678
1779928200,1.16287,1.16299,1.16253,1.16284,772,3,0,1.1628407642708756,1.163317437659932
1779930000,1.16284,1.16302,1.16269,1.16279,294,3,0,1.162829483321792,1.1632864119152302
1779931800,1.16279,1.16292,1.16258,1.16259,258,3,0,1.1627762648058382,1.163245446508452
1779933600,1.16259,1.16285,1.16214,1.16215,372,1,0,1.1626370948489853,1.163181008478543
1779935400,1.16216,1.16225,1.16159,1.16173,505,0,0,1.1624355182158774,1.1630956550386287
1779937200,1.16173,1.16233,1.16165,1.16231,1017,0,0,1.1624076252790159,1.1630494400363565
1779939000,1.16231,1.16234,1.16167,1.16205,798,1,0,1.1623281529947902,1.1629906494459825
1779940800,1.16205,1.16211,1.16178,1.16184,867,1,0,1.1622196745515034,1.162922964184454
