time,open,high,low,close,tick_volume,spread,real_volume
1781123400,1.15495,1.15531,1.15442,1.15522,1927,0,0
1781125200,1.15522,1.15576,1.15491,1.15507,1993,0,0
1781127000,1.1550799999999999,1.1552,1.1547,1.15482,1475,0,0
1781128800,1.15481,1.15487,1.15418,1.15436,1577,2,0
1781130600,1.15436,1.15472,1.15404,1.1541299999999999,1903,1,0
1781132400,1.15415,1.15415,1.1536,1.1539,756,2,0
1781134200,1.1539,1.15399,1.1534200000000001,1.15351,674,0,0
1781136000,1.15349,1.15396,1.15343,1.15361,268,2,0
1781137800,1.15361,1.1537600000000001,1.15344,1.1535199999999999,199,5,0
1781139600,1.1535199999999999,1.15356,1.15275,1.15304,807,3,0
1781141400,1.15304,1.15366,1.15287,1.15295,1174,3,0
1781143200,1.15295,1.15364,1.15253,1.15356,1857,0,0
1781145000,1.15356,1.15377,1.15319,1.15349,1255,0,0
1781146800,1.1535199999999999,1.15426,1.1535199999999999,1.15412,2564,2,0
1781148600,1.15412,1.15429,1.15384,1.15422,1653,0,0
1781150400,1.15422,1.15557,1.15416,1.15548,1797,0,0
1781152200,1.15548,1.1556,1.15522,1.15539,1133,0,0
1781154000,1.1554,1.15541,1.15469,1.15477,1658,2,0
1781155800,1.15477,1.15487,1.15453,1.15479,1411,1,0
1781157600,1.15479,1.1549,1.1543700000000001,1.15471,1129,1,0
1781159400,1.15471,1.15477,1.15435,1.1545,1115,2,0
1781161200,1.1545,1.15472,1.15417,1.15467,1130,0,0
1781163000,1.15467,1.15502,1.15455,1.15482,1106,2,0
1781164800,1.15482,1.15512,1.15457,1.155,1247,2,0
1781166600,1.155,1.15513,1.15443,1.15473,1594,1,0
1781168400,1.15473,1.15473,1.15415,1.15433,1739,0,0
1781170200,1.15433,1.15468,1.15399,1.15415,1490,0,0
1781172000,1.15416,1.15555,1.15412,1.15531,2134,0,0
1781173800,1.15531,1.15542,1.15431,1.15449,1682,0,0
1781175600,1.15449,1.15453,1.15375,1.15389,1780,0,0
1781177400,1.15384,1.15401,1.15303,1.1532,1819,0,0
1781179200,1.1532,1.15369,1.15286,1.15322,1590,0,0
1781181000,1.15322,1.15371,1.15298,1.15339,1565,0,0
1781182800,1.15339,1.15344,1.15221,1.15252,1827,0,0
1781184600,1.15252,1.15318,1.1524,1.15312,1529,0,0
1781186400,1.15312,1.15394,1.15309,1.15375,1891,0,0
