,time,open,high,low,close,tick_volume,spread,real_volume
3113,1779480900,1.16135,1.16171,1.16086,1.16162,1151,0,0
3114,1779481800,1.16163,1.16191,1.16111,1.16132,1144,0,0
3115,1779482700,1.16132,1.16151,1.16106,1.16133,653,1,0
3116,1779483600,1.16133,1.16149,1.16093,1.16117,677,0,0
3117,1779484500,1.16116,1.16122,1.161,1.16104,415,1,0
3118,1779485400,1.16104,1.16151,1.16093,1.16117,457,0,0
3119,1779486300,1.16117,1.16141,1.16109,1.16117,342,2,0
3120,1779487200,1.16117,1.16138,1.1608,1.16085,691,0,0
3121,1779488100,1.16085,1.16102,1.1608,1.16082,400,2,0
3122,1779489000,1.16082,1.16088,1.16066,1.16068,450,1,0
3123,1779489900,1.16068,1.16073,1.16051,1.16059,350,0,0
3124,1779490800,1.16058,1.16065,1.1604,1.16046,258,0,0
3125,1779491700,1.16046,1.1605699999999999,1.16033,1.16037,154,3,0
3126,1779492600,1.16037,1.16038,1.15997,1.16014,242,0,0
3127,1779493500,1.16014,1.16034,1.15978,1.16032,490,0,0
3128,1779667200,1.16373,1.16405,1.16363,1.16382,157,0,0
3129,1779668100,1.16382,1.1638600000000001,1.16355,1.16378,242,0,0
3130,1779669000,1.16373,1.16374,1.16312,1.16327,183,6,0
3131,1779669900,1.16327,1.16343,1.16302,1.1633,165,7,0
3132,1779670800,1.1633,1.16374,1.16309,1.1636,489,0,0
3133,1779671700,1.1636,1.16417,1.16343,1.16406,333,2,0
3134,1779672600,1.16406,1.16439,1.16403,1.16436,350,2,0
3135,1779673500,1.16436,1.1644700000000001,1.16416,1.1643,204,3,0
3136,1779674400,1.1643,1.16459,1.1643,1.16446,281,2,0
3137,1779675300,1.16446,1.16456,1.1644,1.1645,145,3,0
3138,1779676200,1.1645,1.16453,1.16439,1.16446,224,1,0
3139,1779677100,1.16446,1.16454,1.16412,1.16416,376,2,0
3140,1779678000,1.16417,1.16422,1.16379,1.16391,573,1,0
3141,1779678900,1.16391,1.16424,1.16382,1.16418,500,0,0
3142,1779679800,1.16418,1.16432,1.16385,1.16393,284,2,0
3143,1779680700,1.16393,1.16489,1.16352,1.16366,954,0,0
3144,1779681600,1.16366,1.16437,1.16354,1.16433,846,0,0
3145,1779682500,1.16433,1.1647,1.16428,1.16461,597,1,0
3146,1779683400,1.16461,1.16461,1.16395,1.16401,615,1,0
3147,1779684300,1.16401,1.16416,1.16383,1.1639,376,2,0
3148,1779685200,1.16391,1.16425,1.16389,1.16403,432,2,0
3149,1779686100,1.16403,1.16422,1.16395,1.16416,251,2,0
3150,1779687000,1.16416,1.16418,1.16394,1.16404,240,2,0
3151,1779687900,1.16404,1.16408,1.16366,1.16375,254,2,0
3152,1779688800,1.16375,1.16395,1.1636,1.16373,388,2,0
3153,1779689700,1.16373,1.16389,1.1636199999999999,1.16372,395,2,0
3154,1779690600,1.16373,1.16397,1.16372,1.16375,322,2,0
3155,1779691500,1.16375,1.16376,1.1635900000000001,1.16372,319,2,0
3156,1779692400,1.16372,1.16377,1.16355,1.16363,263,2,0
3157,1779693300,1.16364,1.16372,1.1635900000000001,1.16369,258,2,0
3158,1779694200,1.16369,1.164,1.16369,1.164,300,0,0
3159,1779695100,1.164,1.16437,1.164,1.1642000000000001,250,1,0
3160,1779696000,1.1642000000000001,1.16452,1.1641,1.1643,446,2,0
3161,1779696900,1.1643,1.16435,1.16421,1.16432,207,2,0
3162,1779697800,1.16432,1.1644700000000001,1.1642000000000001,1.16428,289,2,0
3163,1779698700,1.16428,1.16438,1.16379,1.16391,317,2,0
3164,1779699600,1.1639,1.16407,1.1638,1.16406,445,2,0
